x,bias,model,N,d,width,F_model
9.7029,-2.0000,SRW,1024,10,4,-2.0000
10.7029,-2.0000,SRW,1024,10,4,-2.0000
11.7029,-2.0000,SRW,1024,10,4,-2.0000
12.7029,-2.0000,SRW,1024,10,4,-2.0000
0.2029,-0.8953,SRW,1024,10,5,-1.1095
1.2029,-1.3734,SRW,1024,10,5,-1.5436
2.2029,-1.7028,SRW,1024,10,5,-1.8402
3.2029,-1.9198,SRW,1024,10,5,-1.9563
4.2029,-1.9989,SRW,1024,10,5,-1.9889
5.2029,-2.0000,SRW,1024,10,5,-1.9972
6.2029,-2.0000,SRW,1024,10,5,-1.9993
7.2029,-2.0000,SRW,1024,10,5,-1.9998
8.2029,-2.0000,SRW,1024,10,5,-2.0000
9.2029,-2.0000,SRW,1024,10,5,-2.0000
10.2029,-2.0000,SRW,1024,10,5,-2.0000
11.2029,-2.0000,SRW,1024,10,5,-2.0000
12.2029,-2.0000,SRW,1024,10,5,-2.0000
0.7029,-1.1113,SRW,1024,10,6,-1.2922
1.7029,-1.5095,SRW,1024,10,6,-1.6452
2.7029,-1.7730,SRW,1024,10,6,-1.8768
3.7029,-1.9398,SRW,1024,10,6,-1.9664
4.7029,-1.9992,SRW,1024,10,6,-1.9914
5.7029,-2.0000,SRW,1024,10,6,-1.9978
6.7029,-2.0000,SRW,1024,10,6,-1.9995
7.7029,-2.0000,SRW,1024,10,6,-1.9999
8.7029,-2.0000,SRW,1024,10,6,-2.0000
9.7029,-2.0000,SRW,1024,10,6,-2.0000
10.7029,-2.0000,SRW,1024,10,6,-2.0000
11.7029,-2.0000,SRW,1024,10,6,-2.0000
-0.2313,-0.5789,SRW,1024,11,4,-0.8971
0.7687,-1.1628,SRW,1024,11,4,-1.4275
1.7687,-1.5781,SRW,1024,11,4,-1.8020
2.7687,-1.8750,SRW,1024,11,4,-1.9462
3.7687,-1.9981,SRW,1024,11,4,-1.9863
4.7687,-2.0000,SRW,1024,11,4,-1.9966
5.7687,-2.0000,SRW,1024,11,4,-1.9991
6.7687,-2.0000,SRW,1024,11,4,-1.9998
7.7687,-2.0000,SRW,1024,11,4,-1.9999
8.7687,-2.0000,SRW,1024,11,4,-2.0000
9.7687,-2.0000,SRW,1024,11,4,-2.0000
10.7687,-2.0000,SRW,1024,11,4,-2.0000
11.7687,-2.0000,SRW,1024,11,4,-2.0000
12.7687,-2.0000,SRW,1024,11,4,-2.0000
0.2687,-0.8594,SRW,1024,11,5,-1.1401
1.2687,-1.3582,SRW,1024,11,5,-1.5686
2.2687,-1.6895,SRW,1024,11,5,-1.8526
3.2687,-1.9106,SRW,1024,11,5,-1.9601
4.2687,-1.9987,SRW,1024,11,5,-1.9898
5.2687,-2.0000,SRW,1024,11,5,-1.9974
6.2687,-2.0000,SRW,1024,11,5,-1.9994
7.2687,-2.0000,SRW,1024,11,5,-1.9998
8.2687,-2.0000,SRW,1024,11,5,-2.0000
9.2687,-2.0000,SRW,1024,11,5,-2.0000
10.2687,-2.0000,SRW,1024,11,5,-2.0000
11.2687,-2.0000,SRW,1024,11,5,-2.0000
12.2687,-2.0000,SRW,1024,11,5,-2.0000
0.7687,-1.0818,SRW,1024,11,6,-1.3178
1.7687,-1.4967,SRW,1024,11,6,-1.6649
2.7687,-1.7626,SRW,1024,11,6,-1.8864
3.7687,-1.9329,SRW,1024,11,6,-1.9693
4.7687,-1.9990,SRW,1024,11,6,-1.9922
5.7687,-2.0000,SRW,1024,11,6,-1.9980
6.7687,-2.0000,SRW,1024,11,6,-1.9995
7.7687,-2.0000,SRW,1024,11,6,-1.9999
8.7687,-2.0000,SRW,1024,11,6,-2.0000
9.7687,-2.0000,SRW,1024,11,6,-2.0000
10.7687,-2.0000,SRW,1024,11,6,-2.0000
11.7687,-2.0000,SRW,1024,11,6,-2.0000
-0.1756,-0.6398,SRW,1024,12,4,-0.9276
0.8244,-1.2125,SRW,1024,12,4,-1.4543
1.8244,-1.6204,SRW,1024,12,4,-1.8151
2.8244,-1.9024,SRW,1024,12,4,-1.9501
3.8244,-2.0000,SRW,1024,12,4,-1.9873
4.8244,-2.0000,SRW,1024,12,4,-1.9968
5.8244,-2.0000,SRW,1024,12,4,-1.9992
6.8244,-2.0000,SRW,1024,12,4,-1.9998
